,Name,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,mileage,engine_size,horsepower,Seats,Price,Age
94,Mahindra XUV500 W8 2WD,2014,58000,Diesel,Manual,First,15.1,2179,140,7,8.1,9
95,Honda Amaze SX i-DTEC,2015,30000,Diesel,Manual,First,25.8,1498,98.6,5,3.5,8
96,Volkswagen Polo Diesel Highline 1.2L,2013,34212,Diesel,Manual,First,22.07,1199,73.9,5,2.79,10
97,Hyundai Verna Transform SX VGT CRDi,2010,70002,Diesel,Manual,First,16.2,1493,110,5,3.45,13
98,Maruti Wagon R VXI BS IV,2016,62000,Petrol,Manual,First,18.9,998,67.1,5,4.45,7
99,Volkswagen Polo Petrol Highline 1.6L,2010,62001,Petrol,Manual,First,15.26,1598,103.5,5,2.65,13
100,Hyundai i20 1.4 CRDi Sportz,2011,78958,Diesel,Manual,Second,23,1396,90,5,3.8,12
101,Hyundai i20 Asta 1.2,2014,30180,Petrol,Manual,First,18.5,1197,82.85,5,4.65,9
102,Datsun GO Plus T Petrol,2017,32851,Petrol,Manual,First,19.83,1198,67,7,3.95,6
103,Audi A4 3.0 TDI Quattro Premium,2010,30000,Diesel,Automatic,First,14.94,2967,241.4,5,9.8,13
104,Hyundai i20 2015-2017 Asta,2009,66000,Petrol,Manual,Second,17,1197,80,5,2.7,14
105,Maruti Omni 5 Str STD,2010,93850,Petrol,Manual,First,14,796,35,5,2.41,13
106,Toyota Etios Liva 1.2 G,2014,53000,Petrol,Manual,First,17.71,1197,78.9,5,3.9,9
107,Jaguar XF 3.0 Litre S Premium Luxury,2011,78000,Diesel,Automatic,Second,14.74,2993,270.9,5,24,12
108,Mahindra XUV500 W8 2WD,2012,65000,Diesel,Manual,Second,16,2179,140,7,5.75,11
109,Hyundai Verna 1.6 SX CRDI (O) AT,2014,40000,Diesel,Automatic,First,22.32,1582,126.32,5,5.25,9
110,Toyota Innova Crysta 2.8 ZX AT,2017,30000,Diesel,Automatic,First,11.36,2755,171.5,7,19.25,6
111,Maruti Eeco 5 Seater AC,2017,38053,Petrol,Manual,First,15.1,1196,73,5,3.91,6
112,Tata Nano Twist XT,2014,25500,Petrol,Manual,First,25.4,624,37.5,4,2.15,9
113,BMW 3 Series 320d Luxury Line,2015,56087,Diesel,Automatic,First,22.69,1995,190,5,20.75,8
114,Honda Civic 2006-2010 1.8 V MT,2010,71088,Petrol,Manual,First,13.5,1799,130,5,3.35,13
115,Toyota Innova 2.5 VX (Diesel) 7 Seater,2014,55000,Diesel,Manual,First,12.99,2494,100.6,7,11.11,9
116,Volvo V40 Cross Country D3,2014,32700,Diesel,Automatic,First,23.3,1984,150,5,20,9
117,Nissan Micra XV CVT,2016,39882,Petrol,Automatic,First,19.15,1198,75.94,5,6.55,7
118,BMW 5 Series 2010-2013 525i,2009,128000,Petrol,Automatic,First,10.8,2497,215,5,7,14
119,Maruti Vitara Brezza VDi,2016,55000,Diesel,Manual,First,24.3,1248,88.5,5,7.5,7
120,Hyundai Santro Xing XL eRLX Euro III,2005,102000,Petrol,Manual,Second,17,1086,null ,5,0.85,18
121,Mercedes-Benz B Class B200 CDI,2014,53753,Diesel,Automatic,Second,15,2143,107.3,5,16.75,9
122,Hyundai Verna CRDi 1.6 SX Option,2018,10250,Diesel,Manual,First,22,1582,126.2,5,10.95,5
123,Maruti Wagon R LXI BS IV,2011,43874,Petrol,Manual,First,18.9,998,67.1,5,2.45,12
124,Tata Nano XTA,2017,32684,Petrol,Automatic,First,21.9,624,37.48,4,3.23,6
125,Mahindra Scorpio VLX,2014,42000,Diesel,Manual,First,12.05,2179,120,8,7.75,9
126,Mercedes-Benz New C-Class 200 K AT,2009,28352,Petrol,Automatic,First,11.7,1796,178,5,9.35,14
127,Maruti Wagon R LXI CNG,2013,89900,CNG,Manual,First,26.6,998,58.16,5,3.25,10
128,Honda CR-V 2.4 MT,2007,47700,Petrol,Manual,Second,10.8,2354,152,5,5.25,16
129,Volkswagen Vento 1.5 TDI Comfortline AT,2015,55000,Diesel,Automatic,First,21.21,1498,103.2,5,7.25,8
130,Maruti Ciaz VXi Plus,2017,44285,Petrol,Manual,First,20.73,1373,91.1,5,7.47,6
131,Mahindra XUV500 AT W10 FWD,2016,54000,Diesel,Automatic,First,16,2179,140,7,13.25,7
132,Maruti Ritz VXI ABS,2016,30232,Petrol,Manual,First,21.1,1197,85.8,5,5.81,7
133,Maruti Alto K10 VXI,2014,88500,Petrol,Manual,First,24.07,998,67.1,5,2.6,9
134,Mercedes-Benz SLC 43 AMG,2017,13372,Petrol,Automatic,First,19,2996,362.07,2,54,6
135,Hyundai Verna VTVT 1.6 AT SX Plus,2019,12645,Petrol,Automatic,First,17,1591,121.3,5,11.5,4
136,Maruti Alto LXi BSIII,2010,94385,Petrol,Manual,Second,19.7,796,46.3,5,1.6,13
137,BMW 1 Series 118d Base,2015,31821,Diesel,Automatic,First,20.58,1995,143,5,17.22,8
138,Honda Jazz 1.2 V CVT i VTEC,2015,12000,Petrol,Automatic,First,19,1199,88.7,5,6,8
139,Honda Civic 2006-2010 1.8 V MT,2012,88578,Petrol,Manual,First,13.5,1799,130,5,3.95,11
140,Mercedes-Benz New C-Class C 220 CDI Avantgarde,2014,44965,Diesel,Automatic,First,19.27,2143,170,5,17.95,9
141,Honda Amaze SX i-DTEC,2014,45044,Diesel,Manual,First,25.8,1498,98.6,5,3.7,9
142,Maruti Swift VVT VXI,2016,34204,Petrol,Manual,First,22,1197,81.8,5,5.43,7
143,Hyundai Santro Xing XO eRLX Euro II,2008,80759,Petrol,Manual,Third,17,1086,null ,5,1.67,15
144,Toyota Fortuner 3.0 Diesel,2012,91235,Diesel,Manual,First,11.5,2982,171,7,13.49,11
145,Chevrolet Beat LT Option,2014,38800,Petrol,Manual,First,18.6,1199,76.8,5,2.85,9
146,Skoda Rapid 1.5 TDI Elegance,2013,83000,Diesel,Manual,First,21.14,1498,103.52,5,4.75,10
147,Maruti Ciaz 1.4 Alpha,2018,41283,Petrol,Manual,First,20.73,1373,91.1,5,9.9,5
148,Audi RS5 Coupe,2013,23000,Petrol,Automatic,First,11.05,2894,444,4,37,10
149,BMW 3 Series Luxury Line,2014,48000,Diesel,Automatic,First,21.76,1995,190,5,26.5,9
150,Audi A4 2.0 TDI 177  Premium Plus,2015,48214,Diesel,Automatic,First,17.11,1968,174.33,5,23.32,8
151,Maruti Swift VDI,2016,35000,Diesel,Manual,First,22.9,1248,74,5,6.25,7
152,Mercedes-Benz S Class 2005 2013 S 500,2010,35277,Petrol,Automatic,First,7.81,5461,362.9,5,30,13
153,Skoda Rapid 1.5 TDI AT Elegance Plus Black Package,2016,54620,Diesel,Automatic,First,21.66,1498,103.52,5,9.86,7
154,Skoda Superb Elegance 2.0 TDI CR AT,2012,136997,Diesel,Automatic,First,17.2,1968,138.1,5,8.5,11
155,Hyundai EON Magna Plus,2019,14322,Petrol,Manual,First,21.1,814,55.2,5,4.23,4
156,Volkswagen Polo Diesel Trendline 1.2L,2012,65634,Diesel,Manual,First,22.07,1199,73.9,5,3.5,11
157,Datsun GO NXT,2016,6000,Petrol,Manual,First,20.63,1198,67.06,5,2.5,7
158,Honda Brio S MT,2013,33280,Petrol,Manual,First,19.4,1198,86.8,5,2.39,10
159,Mercedes-Benz B Class B180,2013,29000,Petrol,Automatic,First,14.8,1595,120.7,5,11.25,10
160,Honda City i DTEC V,2015,42831,Diesel,Manual,First,26,1498,98.6,5,7.11,8
161,Toyota Innova 2.5 G (Diesel) 7 Seater,2016,90000,Diesel,Manual,First,12.99,2494,100.6,7,10.9,7
162,Maruti Swift VXI Optional,2017,24005,Petrol,Manual,First,20.4,1197,81.8,5,6.2,6
163,Mahindra XUV500 W8 2WD,2012,32792,Diesel,Manual,First,15.1,2179,140,7,7.9,11
164,Ford Ecosport 1.5 DV5 MT Ambiente,2014,147898,Diesel,Manual,First,22.7,1498,89.84,5,4.42,9
165,Toyota Fortuner 4x2 Manual,2012,131765,Diesel,Manual,First,13,2982,168.5,7,13.5,11
166,Volkswagen Vento 1.5 Highline Plus AT 16 Alloy,2013,65000,Diesel,Automatic,First,21.5,1498,108.5,5,6.25,10
167,Ford Figo Diesel Titanium,2010,66123,Diesel,Manual,Second,20,1399,68,5,2.1,13
168,BMW X5 xDrive 30d,2015,41000,Diesel,Automatic,First,15.3,2993,258,5,45,8
169,Mercedes-Benz New C-Class C 220 CDI Style,2017,23550,Diesel,Automatic,First,19.27,2143,167.62,5,33.66,6
170,Honda Brio V MT,2012,45000,Petrol,Manual,Second,19.4,1198,86.8,5,3.65,11
171,Hyundai i10 Magna 1.2,2013,60000,Petrol,Manual,First,20.36,1197,78.9,5,2.75,10
172,Mercedes-Benz GLC 220,2016,44414,Diesel,Automatic,First,17.9,2143,170,5,42.5,7
173,Hyundai Grand i10 1.2 Kappa Asta,2019,1000,Petrol,Manual,First,18.9,1197,81.86,5,6.5,4
174,Audi A6 2011-2015 2.0 TDI Premium Plus,2012,62500,Diesel,Automatic,Second,17.68,1968,174.33,5,19,11
175,Volkswagen Vento Petrol Highline AT,2013,21000,Petrol,Automatic,Second,14.4,1598,103.6,5,4.45,10
176,Mini Countryman Cooper D,2017,8525,Diesel,Automatic,Second,16.6,1998,112,5,23,6
177,Hyundai i20 Asta 1.4 CRDi,2014,29000,Diesel,Manual,First,22.54,1396,88.73,5,8.35,9
178,Audi A6 2011-2015 2.0 TDI Premium Plus,2014,40000,Diesel,Automatic,First,17.68,1968,174.33,5,22.95,9
179,Chevrolet Beat Diesel LT,2012,88000,Diesel,Manual,First,25.44,936,57.6,5,1.5,11
180,Skoda Superb Elegance 1.8 TSI AT,2012,53537,Petrol,Automatic,First,13.7,1798,157.75,5,6.89,11
181,Ford Fiesta 1.4 TDCi EXI Limited Edition,2006,216000,Diesel,Manual,Second,17.8,1399,68,5,1.45,17
182,BMW 5 Series 520d Luxury Line,2014,51000,Diesel,Automatic,First,22.48,1995,190,5,33.5,9
183,Chevrolet Optra Magnum 1.6 LS BS3,2007,118500,Petrol,Manual,First,12.9,1598,102.5,5,1.25,16
184,Volkswagen Polo Diesel Highline 1.2L,2012,63000,Diesel,Manual,First,22.07,1199,73.9,5,4.2,11
185,Renault Lodgy 110PS RxZ 8 Seater,2015,25000,Diesel,Manual,First,19.98,1461,108.5,8,6.75,8
186,Mercedes-Benz E-Class E250 CDI Avantgrade,2014,37382,Diesel,Automatic,First,13,2143,201.1,5,32,9
187,Maruti Baleno Alpha,2017,24773,Petrol,Manual,First,21.4,1197,83.1,5,7.5,6
188,Hyundai Verna 1.6 SX,2012,62000,Diesel,Manual,First,22.32,1582,126.32,5,4.6,11
189,Hyundai i10 Magna 1.1,2017,52340,Petrol,Manual,First,19.81,1086,68.05,5,4.04,6
190,Mahindra Scorpio 1.99 S10 4WD,2016,56739,Diesel,Manual,First,15.4,1997,120,7,10.31,7
191,Land Rover Range Rover 2.2L Dynamic,2018,36091,Diesel,Automatic,First,12.7,2179,187.7,5,55.76,5
192,Ford Figo Diesel ZXI,2010,120000,Diesel,Manual,First,20,1399,68,5,2.6,13
193,Maruti Ertiga ZDI,2016,33000,Diesel,Manual,First,25.47,1248,88.5,7,8.5,7
194,Honda City 1.5 GXI,2007,60006,Petrol,Manual,First,0,,,,2.95,16
195,Honda Amaze S i-Dtech,2014,52000,Diesel,Manual,First,25.8,1498,98.6,5,3.5,9
196,Hyundai i10 Magna,2015,43571,Petrol,Manual,First,20.36,1197,78.9,5,3.55,8
197,Honda Amaze S i-Dtech,2013,50000,Diesel,Manual,First,25.8,1498,98.6,5,3.25,10
198,Skoda Laura Ambiente,2008,113000,Diesel,Manual,First,17.5,1896,106,5,4.5,15
199,Renault Duster 85PS Diesel RxL,2014,90000,Diesel,Manual,First,19.87,1461,83.8,5,5.35,9
200,Mahindra NuvoSport N6,2017,29000,Diesel,Manual,Second,17.45,1493,100,7,6.5,6
201,Maruti Vitara Brezza ZDi Plus Dual Tone,2016,20000,Diesel,Manual,First,24.3,1248,88.5,5,9,7
202,Hyundai i20 Asta Option 1.2,2016,61012,Petrol,Manual,First,18.6,1197,81.83,5,6,7
203,Skoda Fabia 1.4 MPI Ambiente,2009,87459,Petrol,Manual,First,14.7,1390,85,5,2.75,14
204,Tata Indigo eCS GLX,2010,70500,Petrol,Manual,First,15.64,1193,64.1,5,1.5,13
205,Audi Q3 2012-2015 35 TDI Quattro Premium Plus,2015,64103,Diesel,Automatic,First,15.73,1968,174.33,5,19.9,8
206,Skoda Octavia Elegance 1.8 TSI AT,2014,76000,Petrol,Automatic,First,14.7,1798,177.5,5,10,9
207,Toyota Etios Liva GD SP,2014,104000,Diesel,Manual,First,23.59,1364,67.06,5,3,9
208,Maruti Swift 1.3 VXi,2010,42001,Petrol,Manual,First,16.1,,,,2.11,13
209,Mercedes-Benz B Class B180,2014,37245,Petrol,Automatic,First,14.8,1595,120.7,5,11.96,9
210,Honda Amaze S Diesel,2013,45000,Diesel,Manual,First,27.4,1498,98.6,5,3.25,10
211,Hyundai Verna 1.6 SX,2012,117837,Diesel,Manual,Second,22.32,1582,126.32,5,4.75,11
212,Renault Duster 85PS Diesel RxL Optional,2014,30000,Diesel,Manual,First,20.46,1461,83.8,5,5.95,9
213,Hyundai Creta 1.6 VTVT S,2015,27057,Petrol,Manual,Second,15.29,1591,121.3,5,8.15,8
214,Maruti Wagon R AMT VXI,2016,8500,Petrol,Automatic,First,20.51,998,67,5,4.22,7
215,Mercedes-Benz New C-Class C250 Avantgarde,2010,30500,Petrol,Automatic,First,11.74,1796,186,5,10.5,13
216,Audi A8 L 3.0 TDI quattro,2012,56000,Diesel,Automatic,First,11.8,2967,246.7,5,45,11
217,Hyundai i10 Magna 1.1,2012,44000,Petrol,Manual,Second,19.81,1086,68.05,5,2.9,11
218,Skoda Rapid 1.6 MPI AT Style Black Package,2017,10500,Petrol,Automatic,First,14.3,1598,103.52,5,8.9,6
219,Skoda Superb Style 1.8 TSI AT,2017,26000,Petrol,Automatic,First,14.67,1798,177.46,5,26,6
220,Hyundai i20 Active 1.2 SX,2018,25166,Petrol,Manual,First,17.19,1197,81.86,5,8.22,5
221,Honda Amaze VX i-DTEC,2014,64000,Diesel,Manual,Second,25.8,1498,98.6,5,3.5,9
222,Maruti Wagon R LXI,2004,61000,Petrol,Manual,Second,18.9,998,67.1,5,1.25,19
223,Mahindra Verito 1.5 D4 BSIV,2013,107000,Diesel,Manual,First,21.03,1461,65,5,3.7,10
224,Mercedes-Benz New C-Class C 220d Avantgarde Edition C,2018,29161,Diesel,Automatic,First,19.27,2143,167.62,5,39.41,5
225,Maruti Wagon R VXI,2013,32000,Petrol,Manual,First,22.5,998,67.04,5,2.65,10
226,Nissan Terrano XV Premium 110 PS Anniversary Edition,2015,46173,Diesel,Manual,Second,19.01,1461,108.5,5,8.92,8
227,Maruti Swift VDI BSIV,2013,47000,Diesel,Manual,First,17.8,1248,null ,5,4.1,10
228,Mini Cooper Convertible S,2017,26327,Petrol,Automatic,First,16.82,1998,189.08,4,35.67,6
229,Ford Figo Diesel,2015,70436,Diesel,Manual,First,0,1498,99,,3.6,8
230,Tata Indica V2 DLS BSII,2007,200000,Diesel,Manual,Second,17.2,1396,53.5,5,0.85,16
231,Chevrolet Beat LT,2016,60813,Petrol,Manual,Second,18.6,1199,76.8,5,3.32,7
232,Volkswagen Polo Diesel Comfortline 1.2L,2012,45000,Diesel,Manual,First,22.07,1199,73.9,5,3.6,11
233,Maruti Swift ZDi,2016,64000,Diesel,Manual,First,22.9,1248,74,5,6.8,7
234,Ford Figo Diesel EXI,2012,41284,Diesel,Manual,First,20,1399,68.05,5,2.5,11
235,Toyota Innova Crysta 2.8 GX AT,2019,14165,Diesel,Automatic,First,11.36,2755,171.5,7,19.64,4
236,Hyundai Santa Fe 4x4 AT,2011,67000,Diesel,Automatic,Second,11.72,2199,194.3,7,7,12
237,Honda City i-VTEC V,2011,32572,Petrol,Manual,First,17.4,1497,117.3,5,3.87,12
238,Hyundai i20 1.2 Magna Executive,2018,14960,Petrol,Manual,First,18.6,1197,81.83,5,6.27,5
239,Mercedes-Benz New C-Class C 220d Avantgarde Edition C,2015,55980,Diesel,Automatic,First,19.27,2143,167.62,5,18.12,8
240,Chevrolet Beat Diesel LT,2013,74000,Diesel,Manual,First,25.44,936,57.6,5,2.65,10
241,Hyundai i20 Sportz 1.4 CRDi,2015,56847,Diesel,Manual,First,22.54,1396,88.73,5,7.2,8
242,Toyota Innova 2.5 Z Diesel 7 Seater,2015,121374,Diesel,Manual,First,12.99,2494,100.6,7,14.3,8
243,Maruti Ertiga VDI,2013,52000,Diesel,Manual,First,20.77,1248,88.76,7,6.9,10
244,Toyota Innova 2.5 V Diesel 7-seater,2014,118000,Diesel,Manual,First,12.8,2494,102,7,10.75,9
245,Hyundai Santro Xing XO eRLX Euro II,2007,72000,Petrol,Manual,Third,17,1086,null ,5,0.95,16
246,Honda City i VTEC V,2016,33915,Petrol,Manual,First,17.8,1497,117.3,5,8.09,7
247,BMW X1 sDrive20d,2014,82002,Diesel,Automatic,First,17.05,1995,184,5,18.5,9
248,Hyundai Grand i10 CRDi Era,2017,33000,Diesel,Manual,First,24,1120,70,5,4.75,6
249,Maruti Ciaz 1.3 Alpha,2016,34000,Diesel,Manual,First,28.09,1248,88.5,5,8.45,7
